tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_alert_ledger_admission | test_a_USER_AUTHORED_fire_lands_ZERO_receipts_beside_a_builtin_that_lands_ONE | api.services.alert_user_series.AdmissionRefused: u_1234567890ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_taxonomy_scan_membership_change_schema | test_CP1_does_not_edit_scan_store_because_flow_worker_runs_it | subprocess.CalledProcessError: Command '['git', '-C', '/home/runner/work/UCT-Dashboard/UCT-Dashboard', 'merge-base', 'HEAD', 'origin/master']' returned non-zero exit status 128.
tests.test_alert_user_admission | test_the_frozen_INSTRUMENTS_are_byte_identical_after_the_fourth_partition | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_build_alert_grid_generates_the_SAME_grid_with_a_user_series_registered | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_fourth_partition_is_NOT_in_ADDRESS_PARTITIONS | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_a_user_definition_cannot_be_armed_until_BOTH_LANES_AGREE_on_the_bars | AssertionError: Regex pattern did not match.
tests.test_alert_user_admission | test_the_SAME_definition_admits_without_the_perturbation | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_disagreement_is_caught_from_EITHER_LANE | AssertionError: Regex pattern did not match.
tests.test_alert_user_admission | test_the_tolerance_is_TIGHT_and_that_is_measured_not_wished | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_acknowledgement_ADMITS_it_and_that_is_the_positive_control | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_acknowledgement_is_PER_PLOT_and_a_wholesale_one_is_still_accepted | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_budget_is_read_at_ARM_TIME_so_a_TIGHTENED_one_reaches_an_old_formula | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_resolve_address_can_NEVER_reach_a_user_address_without_a_user_id | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_WITH_a_user_id_the_same_address_resolves_to_a_real_number | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_one_accounts_formula_cannot_answer_for_another | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_a_registry_MISS_rebuilds_from_the_store_rather_than_going_quiet | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_a_rebuild_still_passes_through_the_repaint_gate | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_a_refused_user_alert_names_WHICH_gate_refused_it | AssertionError: the last save fixed every defect and it is still refused — the gate that answered is not the gate that was fixed
tests.test_alert_user_admission | test_BOTH_LANES_resolve_the_SAME_user_definition_to_the_SAME_number | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_a_user_alert_delivers_ONCE_and_never_reaches_the_ledger | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_user_alerts_fire_key_is_BYTE_IDENTICAL_to_a_builtin_alerts | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_list_active_does_NOT_filter_on_def_source | api.services.alert_user_series.AdmissionRefused: u_0123456789ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_admission | test_the_arm_path_really_runs_the_cross_lane_equality | AssertionError: Regex pattern did not match.
tests.test_alert_user_inputs | test_the_declared_DEFAULT_reaches_the_formula_through_the_evaluator | api.services.alert_user_series.AdmissionRefused: u_00aabbccddee: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_inputs | test_params_json_REACHES_the_formula_and_MOVES_the_number | api.services.alert_user_series.AdmissionRefused: u_00aabbccddee: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_inputs | test_the_CLOSED_lane_reads_the_same_params_as_the_forming_one | api.services.alert_user_series.AdmissionRefused: u_00aabbccddee: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_alert_user_inputs | test_a_definition_that_only_DECLARES_an_input_needs_no_override_at_all | api.services.alert_user_series.AdmissionRefused: u_00aabbccddee: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
